0,-21,5.5616
1,-21,10.234
2,-21,15.702
3,-21,20.041
4,-20,24.208
5,-19,29.747
6,-21,34.291
7,-21,38.238
8,-20,43.409
9,-21,47.637
10,-20,51.783
11,-19,55.875
12,-20,60.303
13,-17,66.54
14,-21,71.381
15,-20,76.463
16,-21,80.474
17,-21,84.816
18,-20,90.606
19,-19,96.554
20,-21,100.25
21,-20,105.87
22,-21,109.87
23,-20,115.96
24,-21,119.4
25,-19,126.19
26,-20,130.36
27,-21,134.05
28,-21,139.31
29,-21,143.09
30,-21,146.82
31,-21,150.63
32,-19,154.88
33,-19,159.34
34,-19,162.87
35,-19,166.72
36,-19,170.26
37,-20,173.79
38,-21,176.76
39,-21,180.11
40,-20,184.51
41,-21,189.62
42,-21,192.04
43,-21,194.66
44,-21,197.52
45,-20,200.56
46,-18,204.47
47,-21,209.26
48,-19,213.97
49,-21,218.61
50,-21,222.59
51,-19,227.37
52,-19,231.56
53,-21,235.95
54,-21,240.03
55,-21,244.31
56,-20,249.13
57,-21,253.41
58,-21,257.26
59,-19,262.53
60,-21,266.44
61,-19,271.39
62,-19,278.06
63,-21,283.63
64,-20,289.05
65,-21,292.87
66,-21,297.38
67,-21,301.39
68,-21,305.02
69,-21,308.24
70,-21,311.74
71,-20,317
72,-19,321.67
73,-20,326.44
74,-19,331.55
75,-21,335.68
76,-21,339.87
77,-20,344.72
78,-21,348.21
79,-21,353.2
80,-20,361.22
81,-21,364.45
82,-21,368.82
83,-21,372.95
84,-21,376.02
85,-20,381.19
86,-20,384.54
87,-20,389.39
88,-21,392.54
89,-21,395.86
90,-21,400.95
91,-21,404.47
92,-21,408.67
93,-20,412.66
94,-21,416.55
95,-21,421.69
96,-20,425.85
97,-21,430.22
98,-20,435.65
99,-21,439.98
100,-19,444.23
101,-21,449.42
102,-21,453.27
103,-21,457.02
104,-20,461.51
105,-21,466.77
106,-20,470.64
107,-20,474.78
108,-21,479.6
109,-21,483.36
110,-21,486.62
111,-20,489.64
112,-20,492.96
113,-20,497.17
114,-21,500.17
115,-21,503.46
116,-21,507.33
117,-20,510.1
118,-21,513.3
119,-20,515.99
120,-21,518.81
121,-20,521.6
122,-21,524.12
123,-21,526.42
